label;birth date;death date
Anil Biswas (composer);1914-07-07;2003-05-31
Anil Mohile;None;2012-02-01
Anis Fuleihan;1900-04-02;1970-10-11
Anita Carter;1933-03-31;1999-07-29
Anita Morris;1943-03-14;1994-03-02
Anita O'Day;1919-10-18;2006-11-23
Anita Palmero;1902-09-16;1987-01-11
Anita Traversi;1937-07-25;1991-09-25
Anjanibai Malpekar;1883-04-22;1974-08-07
Ankaralı Namık;None;2015-10-18
Anker Buch;1940-03-25;2014-04-01
Ann Baker (singer);1915-08-21;1999-08-29
Ann Burton;1933-03-04;1989-11-29
Ann Catley;None;1789-10-14
Ann Christy (singer);1945-09-22;1984-08-07
Ann Cole;1934-01-29;1986-11-01
Ann Drummond-Grant;None;1959-09-11
Ann Maria Thorne;None;1881-06-20
Ann Pennington (actress);1893-12-23;1971-11-04
Ann Richards (singer);1935-10-01;1982-04-01
Ann Ronell;1906-12-28;1993-12-25
Ann Turner Robinson;None;1741-01-05
Ann Valentine;1762-01-11;1842-10-13
Anna-Lena Löfgren;1944-05-01;['2010-05-01', '2010-05-21']
Anna-Lisa Björling;1910-03-15;2006-11-24
Anna-Lisa Frykman;1889-01-04;1960-06-14
Anna Bethell;None;1969-03-02
Anna Caroline Oury;1808-06-24;1880-07-22
Anna Case;1888-10-29;1984-01-07
Anna Deinet;1843-02-22;1919-08-18
Anna Essinger;1879-09-15;1960-05-30
Anna Fitziu;1887-04-01;1967-04-20
Anna Gordy Gaye;1922-01-28;2014-01-31
Anna Harriet Heyer;1909-08-30;2002-08-12
Anna Hegner;1881-03-01;1963-02-03
Anna Lang (harpsichordist);1874-07-05;1920-12-12
Anna Leonore König;1771-10-29;1854-03-20
Anna Mae Winburn;1913-08-13;1999-09-30
Anna Maria Crouch;1763-04-20;1805-10-02
Anna Milder-Hauptmann;1785-12-13;1838-05-29
Anna Nielsen (1803–1856);1803-09-04;1856-07-20
Anna Pollak;1912-05-01;1996-11-28
Anna Prieto Sandoval;1934-05-14;2010-10-28
Anna Reynolds (singer);1931-10-04;2014-02-24
Anna Sofia Sevelin;1790-07-23;1871-02-25
Anna Sosenko;1909-06-13;2000-06-09
Anna Sutter;1871-11-26;1910-06-29
Anna Turner (producer);None;1996-08-27
Anna Yesipova;1851-02-12;1914-08-18
Anna von Mildenburg;1872-11-29;1947-01-27
Annagul Annakuliyeva;1924-12-31;2009-07-18
Annamacharya;1408-05-22;1503-02-14
Anne Collins (contralto);1943-08-29;2009-07-15
Anne Ford;1737-02-22;1824-01-20
Anne Francine;1917-08-08;1999-12-03
Anne Lenner;1912-12-24;1997-06-04
Anne Louise Boyvin d'Hardancourt Brillon de Jouy;1744-12-13;1824-12-05
Anne Macnaghten;1908-08-09;2000-12-31
Anne McKnight;1924-07-24;2012-08-29
Anne Sharp;1916-10-24;2011-08-25
Anne Shelton (singer);1923-11-10;1994-07-31
Anne Vabarna;1877-12-21;1964-12-07
Anne Ziegler;1910-06-22;2003-10-13
Anne Øland;1949-01-16;2015-09-15
Annelies Kupper;1906-07-21;1987-12-08
Annette Hanshaw;1901-10-18;1985-03-13
Annette Richardson Dinwoodey;1906-02-17;2007-01-21
Annette Snell;1945-03-22;1977-04-04
Anni Becker;None;2009-06-22
Anni Frind;1900-02-02;1987-04-07
Annie Fischer;1914-07-05;1995-04-10
Annie Hawks;1836-05-28;1918-01-03
Annie Jessy Curwen;None;1932-04-22
Annie Krull;1876-01-12;1947-06-14
Annie Landouw;None;1982-08-17
Annie Laurie (musician);1924-08-11;2006-11-13
Annie Palmen;1926-08-19;2000-01-15
Annie Pinnock Malin;1863-05-13;1935-03-20
Annik Honoré;1957-10-12;2014-07-03
Annisteen Allen;1920-11-11;1992-08-10
Anno Birkin;1980-12-09;2001-11-08
Anny Ahlers;1907-12-21;1933-03-14
Anokhelal Mishra;None;1958-03-10
Anselmo Aieta;1896-11-05;1964-09-25
Anselmo Colzani;1918-03-28;2006-03-19
Anselmo López (musician);1934-04-21;2016-02-14
Anselmo Sacasas;1912-11-23;1998-01-22
Anson Weeks;1896-02-14;1969-02-07
Antanas Juška;1819-06-16;1880-11-01
Antanas Pocius;1913-08-19;1983-04-01
Anthony Sooty Jones;1952-12-18;1999-11-06
Anthony A. Mitchell;1917-08-26;2009-01-20
Anthony Armstrong Jones;1949-06-02;1996-06-16
Anthony Burger;1961-06-05;2006-02-22
Anthony Galla-Rini;1904-01-18;2006-07-30
Anthony Gigliotti;1922-05-13;2001-12-03
Anthony Gonsalves;None;2012-01-18
Anthony Harley;1963-09-26;2010-05-30
Anthony Hicks;1943-06-26;2010-05-26
Anthony Ian Berkeley;1964-11-15;2001-07-15
Anthony J. Stastny;None;1923-04-17
Anthony Lewis (musician);1915-03-02;1983-06-05
Anthony Powell;1905-12-21;2000-03-28
Anthony Rolfe Johnson;1940-11-05;2010-07-21
Anthony Young (musician);None;1747-05-08
Anthony di Bonaventura;1929-11-12;2012-11-12
Antoine T.C.D. Lundy;['1963-02-03', '1964-02-03'];['1998-01-18', '1998-01-21']
Antoine Trial;1737-10-13;1795-02-05
Antoine Vialon;None;1866-03-04
Antoinette Saint-Huberty;1756-12-15;1812-07-22
Antoinette Sterling;1850-01-23;1904-01-10
Anton Bernhardt Julius Lemmer;None;1957-09-17
Anton Biersack;1907-11-30;1982-11-18
Anton Dermota;1910-06-04;1989-06-22
Anton Ferdinand Titz;None;1811-01-06
Anton Ginsburg;1930-09-18;2002-07-19
Anton Hekking;1856-09-07;1935-11-18
Anton LaVey;1930-04-11;1997-10-29
Anton Schott;1846-06-24;1913-01-06
Anton Strohmayer;1848-01-25;1937-12-20
Anton Urspruch;1850-02-17;1907-01-11
Anton Wilhelm von Zuccalmaglio;1803-04-12;1869-03-23
Anton van Rooy;1870-01-01;1932-11-28
Antoni Stolpe;1851-05-23;1872-09-07
Antoni Szuniewicz;1911-11-14;1987-03-12
Antonia García de Videgain;1850-04-08;1924-06-25
Antonio Agri;1932-05-05;1998-10-17
Antonio Bagioli;1795-11-17;1871-02-11
Antonio Bernacchi;1685-06-23;1756-03-01
Antonio Bibalo;1922-01-18;2008-06-20
Antonio Braga;1929-01-22;2009-05-26
Antonio Brosa;1894-06-27;1979-03-23
Antonio Brunelli;1577-12-20;1630-11-19
Antonio Buzzolla;1815-03-02;1871-03-20
Antonio Casimir Cartellieri;1772-09-27;1807-09-02
Antonio Cortis;1891-08-12;1952-04-02
Antonio Cotogni;1831-08-01;1918-10-15
Antonio Flores;1961-11-14;1995-05-31
Antonio Francisco Xavier Alvares;1836-04-24;1923-09-23
Antonio Giuglini;None;1865-10-12
Antonio Guarnieri;None;1952-11-25
Antonio Lolli;None;1802-08-10
Antonio Machín;1903-02-11;1977-08-04
Antonio Magini-Coletti;1855-02-17;1912-07-21
Antonio Maria Mazzoni;1717-01-04;1785-12-08
Antonio Maria Pacchioni;1654-07-05;1738-07-15
Antonio María Romeu;1876-09-11;1955-01-18
Antonio Molina (composer);1894-12-26;1980-01-29
Antonio Molina (singer);1928-03-09;1992-03-18
Antonio Morelli;1904-07-22;1974-06-17
Antonio Neumane;1818-06-13;1871-03-03
Antonio Ortiz Mayans;1908-06-20;1995-05-07
Antonio Palella;1692-10-08;1761-03-07
Antonio Paoli;1871-04-14;1946-08-24
Antonio Pasculli;1842-10-13;1924-02-23
Antonio Poggi;None;1875-04-15
Alba Chrétien-Vaguet;1872-03-08;1963-02-28
Alban Schachleiter;1861-01-20;1937-06-20
Albennie Jones;1914-11-29;1989-06-24
Albert Akst;1899-08-31;1958-04-19
Albert Ammons;1907-09-23;1949-12-02
Albert Arlen;1905-01-10;1993-03-24
Albert Asriyan;1951-06-28;2007-11-28
Albert Austin Harding;['1880-02-10', '1880-10-02'];['1958-03-12', '1958-12-03']
Albert Ayler;1936-07-13;1970-11-25
Albert Band;1924-05-07;2002-06-14
Albert Becker (composer);1834-06-13;1899-01-10
Albert Brunies;1900-01-19;1978-10-02
Albert Cahen;1846-01-08;1903-02-27
Albert Campbell (dogsled racer);1894-04-17;1961-11-30
Albert Chamberland;1886-10-12;1975-04-04
Albert Collins;1932-10-01;1993-11-24
Albert Dailey;1939-06-16;1984-06-26
Albert Dupuis;1877-03-01;1967-09-19
Albert E. Brumley;1905-10-29;1977-11-15
Albert Edwin Lynch;1900-12-10;1976-08-23
Albert Fuller;1926-07-21;2007-09-22
Albert Glasser;1916-01-25;1998-05-04
Albert Hague;1920-10-13;2001-11-12
Albert Harris (composer);1916-02-13;2005-02-14
Albert King;1923-04-25;1992-12-21
Albert Lance;1925-07-12;2013-05-15
Albert Mangelsdorff;1928-09-05;2005-07-25
Albert McCarthy;None;1987-11-03
Albert Nicholas;1900-05-27;1973-09-03
Albert Niemann (tenor);1831-01-15;1917-01-13
Albert Pieczonka;1828-02-10;1912-04-12
Albert Pratz;1914-05-13;1995-03-28
Albert Raisner;1922-09-30;2011-01-01
Albert Reiss;1870-02-22;1940-06-19
Albert Riemenschneider;1878-08-31;1950-07-20
Albert Sammons;1886-02-23;1957-08-24
Albert Schweitzer;1875-01-14;1965-09-04
Albert Seitz;1872-06-24;1937-09-23
Albert Spalding (violinist);1888-08-15;1953-05-26
Albert Viau;1910-11-06;2001-06-27
Albert Wesley Johnson;1923-10-18;2010-11-09
Albert West;1949-09-02;2015-06-04
Albert Whelan;1875-05-05;1961-02-19
Alberta Adams;1917-07-26;2014-12-25
Alberta Gay;1913-01-01;1987-05-09
Alberta Hunter;1895-04-01;1984-10-17
Alberta Nichols;1898-12-03;1957-02-04
Alberta Slim;1910-02-02;2005-11-26
Albertina Walker;1929-08-29;2010-10-08
Alberto Colombo (composer);1888-11-27;1954-03-24
Alberto Guerrero;1886-02-06;1959-12-07
Alberto Mantelli;1909-05-14;1967-09-01
Alberto Morán;1922-03-15;1997-08-16
Alberto Socarras;1908-09-19;1987-08-26
Alberto Testa (lyricist);1927-04-11;2009-10-19
Alberto Villalón;None;1955-07-16
Alberto Zelman (senior);None;1907-12-28
Albin Swoboda Jr.;1883-03-19;1970-01-05
Albin Swoboda Sr.;1836-11-13;1901-08-05
Albrecht Agthe;1790-04-14;1873-10-08
Alcide Nunez;1884-03-17;1934-09-02
Alcide Pavageau;1888-03-07;1969-01-19
Alda Noni;1916-04-30;2011-05-19
Aldemaro Romero;1928-03-12;2007-09-15
Aldo Bertocci;1915-05-09;2004-05-02
Aldo Donati (singer);1947-09-02;2014-08-24
Aldo Ferraresi;1902-05-14;1978-06-29
Aldo Finzi (composer);1897-02-04;1945-02-07
Aldo Protti;1920-07-19;1995-08-10
Aldus Roger;['1915-02-02', '1915-02-10'];1999-04-04
Alec Rowley;1892-03-13;1958-01-11
Alec Seward;1902-03-16;1972-05-11
Alec Templeton;1910-07-04;1963-03-28
Alec Wilder;1907-02-16;1980-12-24
Alejandro Gutiérrez del Barrio;1895-02-02;1964-09-15
Alejandro Sokol;1960-01-30;2009-01-12
Aleke Banda;None;2010-04-09
Aleksandar Sarievski;1922-06-20;2002-12-19
Aleksander Kunileid;1845-11-22;1875-07-27
Aleksander Maaker;1890-10-20;1968-01-28
Aleksander Michałowski;1851-05-17;1938-10-17
Aleksander Mirecki;1809-04-13;1882-11-18
Aleksander Myszuga;1853-06-19;1922-03-09
Aleksander Szeligowski;1934-08-24;1993-05-04
Aleksandr Nepomnyashchiy;1968-02-16;2007-04-20
Aleksandre Basilaia;1942-03-11;2009-10-03
Aleksey Nasedkin;1942-12-20;2014-12-04
Alessandro Bonci;1870-02-10;1940-08-10
Alessandro Costantini;None;1657-10-20
Alessandro Longo;1864-12-31;1945-11-03
Alessandro Parisotti;1853-07-24;1913-04-04
Alessandro Sala;1816-04-15;1890-02-07
Alessandro Speranza;None;1797-11-17
Alette Due;1812-02-28;1887-05-07
Alex Baroni;1966-12-22;2002-04-13
Alex Bath MacDonald;1898-04-13;1981-05-12
Alex Bradford;1927-01-23;1978-02-15
Alex Campbell (singer);1925-04-27;1987-01-03
Alex Chilton;1950-12-28;2010-03-17
Alex Duthart;1925-10-07;1986-11-27
Alex Gordon (architect);1917-02-25;['1999-06-12', '1999-07-12']
Alex Harvey (musician);1935-02-05;1982-02-04
Alex Hyde;1898-02-17;1956-07-07
Alex Konadu;None;2011-01-18
Alex Kramer;1903-05-30;1998-02-10
Alex Moir;1919-07-17;2000-06-17
Alex Naumik;1949-08-12;2013-09-17
Alex Soria;1965-12-08;2004-12-13
Alex St. Clair;1941-09-14;2006-01-05
Alex Sylvester Lindsay;1919-05-28;1974-12-05
Alex Welsh;1929-07-09;1982-06-25
Alex van Heerden;1974-11-23;2009-01-07
Alexander Arutiunian;1920-09-23;2012-03-28
Alexander Barykin;1952-02-18;2011-03-26
Alexander Bashlachev;1960-05-27;1988-02-17
Alexander Campbell (musician and writer);None;1824-05-15
Alexander Chuhaldin;1892-08-27;1951-01-20
Alexander Davydov (singer);1872-03-25;1944-06-28
Alexander Dobrunov;1959-05-06;2006-02-07
Alexander Dodonov;1837-02-24;1914-02-01
Alexander Girardi;1850-12-05;1918-04-20
Alexander Ivanov-Kramskoi;1912-09-08;1973-04-11
Alexander Ivashkin;1948-08-17;2014-01-31
Alexander Laszlo (composer);1895-11-22;1970-11-17
Alexander Lean;1824-05-21;1893-11-20
Alexander Lenard;1910-03-09;1972-04-13
Alexander McCurdy;1905-08-18;1983-06-01
Alexander Ritter;1833-06-07;1896-04-12
Alexander Satz;1941-01-31;2007-01-18
Alexander Schneider;1908-10-21;1993-02-02
Alexander Spendiaryan;1871-11-01;1928-05-07
Alexander Sverjensky;1901-03-26;1971-10-03
Alexander Vertinsky;1889-03-21;1957-05-21
Alexander Wunderer;1877-04-11;1955-12-29
Alexander Young (musician);1938-12-28;1997-08-04
Alexander of Battenberg;1857-04-05;1893-10-23
Alexander von Fielitz;1860-12-28;1930-07-29
Alexandra (singer);1942-05-19;1969-07-31
Alexandra Čvanová;1897-04-25;1939-05-20
Alexandre-Étienne Choron;1771-10-21;1834-06-29
Alexandre Dechet;1801-01-20;1830-10-18
Alexandre Goria;1823-01-21;1860-07-06
Alexandre Le Riche de La Poupelinière;None;1762-12-05
Alexandrine-Caroline Branchu;1780-11-02;1850-10-14
Alexei Davidov;1867-08-23;1940-03-06
Alexei Gorokhov;['1927-02-02', '1927-02-11'];1999-02-03
Alexei Khvostenko;1940-11-14;2004-11-30
Alexei Sultanov;1969-08-07;2005-06-30
Alexey Ekimyan;1927-04-10;1982-04-24
Alexey Titov (composer);1769-07-23;1827-11-20
Alexis Brasseur;1860-12-26;1924-11-03
Alexis Korner;1928-04-19;1984-01-01
Alf Bigden;1932-03-01;2007-10-12
Alf Fasmer Dahl;1874-05-20;1933-06-21
Alf Linder;1907-07-28;1983-12-21
Alf Robertson;1941-06-08;2008-12-24
Alfonso D'Artega;1907-06-05;1998-01-20
Alfred Chico Alvarez;1920-02-03;1992-08-01
Alfred Apaka;1919-03-19;1960-01-30
Alfred Bartles;1930-11-10;2006-12-28
Alfred Baum (composer);1904-09-23;1993-09-30
Alfred Charles Hobday;1870-04-19;1942-02-23
Alfred Cortot;1877-09-26;1962-06-15
Alfred De Sève;None;1927-11-25
Alfred Desenclos;1912-02-07;1971-03-31
Alfred Dörffel;1821-01-24;1905-01-22
Alfred Dürr;1918-03-03;2011-04-07
Alfred Edward Moffat;1863-12-04;1950-06-06
Alfred Edwin Brain Jr.;1885-10-24;1966-03-29
Alfred Einstein;1880-12-30;1952-02-13
Alfred Frankenstein;1906-10-05;1981-06-22
Alfred Genovese;1931-04-25;2011-03-11
Alfred H. Conrad;1924-01-02;1970-10-18
Alfred Holmes (composer);None;1876-03-04
Alfred James Hipkins;1826-06-17;1903-06-03
Alfred James Phasey;1834-02-19;1888-08-18
Alfred Jean Baptiste Lemaire;1842-01-15;1907-02-24
Alfred John Ellory;1920-06-18;2009-07-05
Alfred Kalmus;1889-05-16;1972-09-24
Alfred Kastler;1902-05-03;1984-01-07
Alfred Laubin;None;1976-09-06
Alfred Mann (musicologist);1917-04-28;2006-09-21
Alfred Mellon;1820-04-07;1867-03-24
Alfred Montmarquette;1871-04-06;1944-05-24
Alfred Nieman;None;1997-03-07
Alfred Novello;None;1896-07-17
Alfred Næss (playwright);1927-11-30;1997-11-30
Alfred Planyavsky;1924-01-22;2013-06-18
Alfred Prinz;1930-06-04;2014-09-20
Alfred Quidant;1815-12-07;1893-10-09
Alfred Reisenauer;1863-11-01;1907-10-03
Alfred Rode;1905-06-04;1979-07-22
Alfred Rose (singer);1932-08-05;2003-10-21
Alfred Thompson (librettist);1831-10-07;1895-08-31
Alfred Vance;None;1888-12-26
Alfred Wolfsohn;1896-09-23;1962-02-05
Alfredo Chocolate Armenteros;1928-04-04;2016-01-06
Alfredo Belusi;1925-01-10;2001-01-01
Alfredo Campoli;1906-10-20;1991-03-27
Alfredo D'Ambrosio;1871-06-13;1914-12-29
Alfredo De Angelis;1910-11-02;1992-03-31
Alfredo Javaloyes López;1865-03-22;1944-02-18
Alfredo Marceneiro;1891-02-25;1982-06-26
Alfredo Zitarrosa;1936-03-10;1989-01-17
Alfrēds Kalniņš;1879-08-23;1951-12-23
Alger Texas Alexander;1900-09-12;1954-04-18
Algernon Ashton;1859-12-09;1937-04-10
Ali-Asghar Bahari;None;1995-06-10
Ali-Naqi Vaziri;None;1979-09-09
Ali-Ollie Woodson;1951-09-12;2010-05-30
Ali Akbar Khan;1922-04-14;2009-06-18
Ali Bahar;None;2011-07-03
Ali Farka Touré;1939-10-31;['2006-03-06', '2006-03-07']
Ali Merdan;1904-01-01;1981-07-24
Ali Sriti;None;2007-04-05
Ali Tajvidi;1919-11-07;2006-03-15
Alice Babs;1924-01-26;2014-02-11
Alice Burville;1856-07-11;1944-07-04
Alice Chalifoux;1908-01-22;2008-07-31
Alice Coltrane;1937-08-27;2007-01-12
Alice Delysia;1889-03-03;1979-02-10
Alice Faye;1915-05-05;1998-05-09
Alice Gentle;1885-06-30;1958-02-28
Alice Martineau;1972-06-08;2003-03-06
Alice Morgan Person;1840-07-28;1913-06-12
Alice Nielsen;1872-06-07;1943-03-08
Alice Samter;1908-06-11;2004-03-19
Alice Swanson Esty;1904-11-08;2000-07-21
Alice Tegnér;1864-03-12;1943-05-26
Alice Tully;1902-09-14;1993-12-10
Alicia Delgado;1959-05-06;['2009-06-23', '2009-06-24']
Alide Maria Salvetta;1941-03-22;1991-03-19
Alison Stephens;1970-03-01;2010-10-10
Alistair Taylor;1935-06-21;2004-06-09
Alix Combelle;1912-06-01;1978-03-02
Aljosha Rompe;1947-10-20;2000-11-23
Aljoša Buha;1962-01-04;1986-09-18
Alla Rakha;1919-04-29;2000-02-03
Alladiya Khan;1855-08-10;1946-03-16
Allah Bux Soomro;None;1943-05-14
Allan Arthur Willman;1909-05-11;1987-05-07
Allan Browne;1944-07-28;2015-06-13
Allan Gray (composer);1902-02-23;1973-09-10
Allan Jaffe;1935-04-24;1987-03-10
Allan Reuss;1915-06-15;1988-06-04
Allan Roberts (songwriter);1905-03-12;1966-01-14
Allan Smethurst;1927-11-19;2000-12-24
Allard de Ridder;1887-05-03;1966-05-13
Allauddin Khan;None;1972-09-06
Allen Collins;1952-07-19;1990-01-23
Allen Eager;1927-01-10;2003-04-13
Allen Hughes;1921-12-28;2009-11-16
Allen Kearns;1894-08-14;1956-04-20
Allen Lanier;1946-06-25;2013-08-14
Allen Shellenberger;1969-09-15;2009-08-13
Allen Shelton;1936-07-02;2009-11-21
Allen Toussaint;1938-01-14;2015-11-10
Allen Woody;1955-10-03;2000-08-26
Allessandro Liberati;1847-08-24;1927-11-06
Allie Wrubel;1905-01-15;1973-12-13
Allison Miner;1949-09-23;1995-12-23
Alma Cogan;1932-05-19;1966-10-26
Alma Julia Hightower;1888-11-27;1970-08-01
Almeda Riddle;1898-11-21;1986-06-30
Alois Burgstaller;1872-09-21;1945-04-19
Alois Gobbi;1842-12-20;1932-07-27
Alois Pernerstorfer;1912-06-03;1978-05-12
Alok Nembang;None;2014-11-06
Aloys Schmitt;1788-08-26;1866-07-25
Aloísio de Oliveira;1914-12-30;1995-02-04
Alpana Banerjee;1934-03-14;2009-07-24
Alphonse Bois Sec Ardoin;1915-11-16;2007-05-16
Alphonse Duvernoy;1842-08-30;1907-03-07
Alphonse Martin;1884-02-18;1947-06-06
Alphonse Trent;1905-08-24;1959-10-14
Altamiro Carrilho;1924-12-21;2012-08-15
Alton Ellis;1938-09-01;2008-10-10
Alton Hardy Howard;1925-03-28;2006-10-29
Alton Purnell;1911-04-16;1987-01-14
Alvaleta Guess;1955-11-24;1996-09-02
Alvin Alcorn;1912-09-07;2003-07-10
Alvin Batiste;1932-11-07;2007-05-06
Alvin Burroughs;1911-11-21;1950-08-01
Alvin Cash;1939-02-15;1999-11-21
Alvin Lee;1944-12-19;2013-03-06
Alvin Robinson (musician);1937-12-22;1989-01-24
Alvin Stardust;1942-09-27;2014-10-23
Alvin Stoller;1925-10-07;1992-10-19
Alvin Tyler;1925-12-05;1998-04-03
Alvino Rey;1908-07-01;2004-02-02
Alwan alshowaya;1980-08-18;1980-08-18
